loinc_num,component,system,scale_typ,long_common_name,example_ucum_units,displayname
"2705-2","Oxygen","BldV","Qn","Oxygen [Partial pressure] in Venous blood","mm[Hg]","Oxygen (BldV) [Partial pressure]"
"2617-9","Methemoglobin/Hemoglobin.total","BldV","Qn","Methemoglobin/Hemoglobin.total in Venous blood","%","Methemoglobin (BldV) [Mass fraction]"
"19216-1","Oxygen^^saturation adjusted to 0.5","BldV","Qn","Oxygen [Partial pressure] saturation adjusted to 0.5 in Venous blood","mm[Hg]","Oxygen saturation adjusted to 0.5 (BldV) [Partial pressure]"
"2823-3","Potassium","Ser/Plas","Qn","Potassium [Moles/volume] in Serum or Plasma","mmol/L","Potassium [Moles/Vol]"
"2000-8","Calcium","Ser/Plas","Qn","Calcium [Moles/volume] in Serum or Plasma","mmol/L","Calcium [Moles/Vol]"
"2601-3","Magnesium","Ser/Plas","Qn","Magnesium [Moles/volume] in Serum or Plasma","mmol/L","Magnesium [Moles/Vol]"
"14631-6","Bilirubin","Ser/Plas","Qn","Bilirubin.total [Moles/volume] in Serum or Plasma","umol/L","Bilirubin [Moles/Vol]"
"30239-8","Aspartate aminotransferase","Ser/Plas","Qn","Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma by With P-5'-P","U/L","AST With P-5'-P [Catalytic activity/Vol]"
"16362-6","Ammonia","Plas","Qn","Ammonia [Moles/volume] in Plasma","umol/L","Ammonia (P) [Moles/Vol]"
"39354-6","Cholinesterase^dibucaine/Cholinesterase","Ser/Plas","Qn","Cholinesterase in Serum or Plasma --dibucaine/Cholinesterase","%{inhibition};%","Cholinesterase dibucaine/Cholinesterase [Catalytic fraction]"
"14646-4","Cholesterol.in HDL","Ser/Plas","Qn","Cholesterol in HDL [Moles/volume] in Serum or Plasma","mmol/L","Cholesterol in HDL [Moles/Vol]"
"2885-2","Protein","Ser/Plas","Qn","Protein [Mass/volume] in Serum or Plasma","g/dL","Protein [Mass/Vol]"
"75241-0","Procalcitonin","Ser/Plas","Qn","Procalcitonin [Mass/volume] in Serum or Plasma by Immunoassay","ng/mL","Procalcitonin IA [Mass/Vol]"
"3040-3","Triacylglycerol lipase","Ser/Plas","Qn","Lipase [Enzymatic activity/volume] in Serum or Plasma","U/L","Lipase [Catalytic activity/Vol]"
"83092-7","Creatine kinase.MB","Ser/Plas","Qn","Creatine kinase.MB [Mass/volume] in Serum or Plasma by Immunoassay","ng/mL","CK.MB IA [Mass/Vol]"
"83107-3","Natriuretic peptide.B prohormone N-Terminal","Ser/Plas","Qn","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay","pg/mL","Natriuretic peptide.B prohormone N-Terminal IA [Mass/Vol]"
"4548-4","Hemoglobin A1c/Hemoglobin.total","Bld","Qn","Hemoglobin A1c/Hemoglobin.total in Blood","%","HbA1c (Bld) [Mass fraction]"
"20567-4","Ferritin","Ser/Plas","Qn","Ferritin [Mass/volume] in Serum or Plasma by Immunoassay","ng/mL","Ferritin IA [Mass/Vol]"
"14800-7","Iron binding capacity","Ser/Plas","Qn","Iron binding capacity [Moles/volume] in Serum or Plasma","umol/L","Iron binding capacity [Moles/Vol]"
"83107-3","Natriuretic peptide.B prohormone N-Terminal","Ser/Plas","Qn","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay","pg/mL","Natriuretic peptide.B prohormone N-Terminal IA [Mass/Vol]"
"40599-3","Albumin","Dial fld prt","Qn","Albumin [Mass/volume] in Peritoneal dialysis fluid","g/L","Albumin (Perit dial fld) [Mass/Vol]"
"54362-9","Bilirubin","Dial fld","Qn","Bilirubin.total [Moles/volume] in Dialysis fluid","umol/L","Bilirubin (Dial fld) [Moles/Vol]"
"53082-4","Cholesterol","Dial fld","Qn","Cholesterol [Moles/volume] in Dialysis fluid","mmol/L","Cholesterol (Dial fld) [Moles/Vol]"
"15075-5","Glucose","Dial fld","Qn","Glucose [Moles/volume] in Dialysis fluid","mmol/L","Glucose (Dial fld) [Moles/Vol]"
"81430-1","Lactate dehydrogenase","Dial fld prt","Qn","Lactate dehydrogenase [Enzymatic activity/volume] in Peritoneal dialysis fluid by Lactate to pyruvate reaction","U/L","LDH Lactate to pyruvate reaction (Perit dial fld) [Catalytic activity/Vol]"
"2595-7","Magnesium","Dial fld","Qn","Magnesium [Moles/volume] in Dialysis fluid","mmol/L","Magnesium (Dial fld) [Moles/Vol]"
"34938-1","Phosphate","Dial fld","Qn","Phosphate [Moles/volume] in Dialysis fluid","mmol/L","Phosphate (Dial fld) [Moles/Vol]"
"1747-5","Albumin","Body fld","Qn","Albumin [Mass/volume] in Body fluid","g/dL","Albumin (Body fld) [Mass/Vol]"
"2072-7","Chloride","Body fld","Qn","Chloride [Moles/volume] in Body fluid","mmol/L","Chloride (Body fld) [Moles/Vol]"
"16688-4","Creatine kinase","Body fld","Qn","Creatine kinase [Enzymatic activity/volume] in Body fluid","U/L","CK (Body fld) [Catalytic activity/Vol]"
"14745-4","Glucose","Body fld","Qn","Glucose [Moles/volume] in Body fluid","mmol/L","Glucose (Body fld) [Moles/Vol]"
"25386-4","Creatinine","Body fld","Qn","Creatinine [Moles/volume] in Body fluid","umol/L","Creatinine (Body fld) [Moles/Vol]"
"15212-4","Triacylglycerol lipase","Body fld","Qn","Lipase [Enzymatic activity/volume] in Body fluid","U/L;U/dL","Lipase (Body fld) [Catalytic activity/Vol]"
"88710-9","Amylase.pancreatic","Dial fld prt","Qn","Amylase.pancreatic [Enzymatic activity/volume] in Peritoneal dialysis fluid","U/L","Amylase.pancreatic (Perit dial fld) [Catalytic activity/Vol]"
"29766-3","Triglyceride","Body fld","Qn","Triglyceride [Moles/volume] in Body fluid","mmol/L","Triglyceride (Body fld) [Moles/Vol]"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"14628-2","Bile acid","Ser/Plas","Qn","Bile acid [Moles/volume] in Serum or Plasma","umol/L","Bile acid [Moles/Vol]"
"11580-8","Thyrotropin","Ser/Plas","Qn","Thyrotropin [Units/volume] in Serum or Plasma by Detection limit <= 0.005 mIU/L","m[IU]/L","TSH DL <= 0.005 mIU/L Qn"
"14930-2","Triiodothyronine","Ser/Plas","Qn","Triiodothyronine (T3) [Moles/volume] in Serum or Plasma","nmol/L","T3 [Moles/Vol]"
"14731-4","Folate","RBC","Qn","Folate [Moles/volume] in Red Blood Cells","nmol/L","Folate (RBC) [Moles/Vol]"
"40274-3","Cortisol^15M post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge","nmol/L","Cortisol 15 Min post Unsp challenge [Moles/Vol]"
"32312-1","Cortisol^2H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --2 hours post XXX challenge","nmol/L","Cortisol 2 Hr post Unsp challenge [Moles/Vol]"
"45194-8","Choriogonadotropin.intact+Beta subunit","Ser/Plas","Qn","Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma","m[IU]/mL","HCG.intact+Beta subunit Qn"
"24108-3","Cancer Ag 19-9","Ser/Plas","Qn","Cancer Ag 19-9 [Units/volume] in Serum or Plasma","[arb'U];[arb'U]/mL","Cancer Ag 19-9 Qn"
"2039-6","Carcinoembryonic Ag","Ser/Plas","Qn","Carcinoembryonic Ag [Mass/volume] in Serum or Plasma","ng/mL","Carcinoembryonic Ag [Mass/Vol]"
"40155-4","Glucose^15M post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge","mmol/L","Glucose 15 Min post Unsp challenge [Moles/Vol]"
"25665-1","Glucose^1H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --1 hour post XXX challenge","mmol/L","Glucose 1 Hr post Unsp challenge [Moles/Vol]"
"14685-2","Cobalamins","Ser/Plas","Qn","Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma","pmol/L","Cobalamin (Vitamin B12) [Moles/Vol]"
"48431-1","Zinc","Semen","Qn","Zinc [Molar amount] in unspecified time Semen","umol/{ejaculate}","Zinc Unsp time (Sem) [Molar amount]"
"13965-9","Homocysteine","Ser/Plas","Qn","Homocysteine [Moles/volume] in Serum or Plasma","umol/L","Homocysteine [Moles/Vol]"
"40162-0","Glucose^3H post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --3 hours post XXX challenge","mmol/L","Glucose 3 Hr post Unsp challenge [Moles/Vol]"
"53048-5","Ferritin","Body fld","Qn","Ferritin [Mass/volume] in Body fluid","ug/L","Ferritin (Body fld) [Mass/Vol]"
"14744-7","Glucose","CSF","Qn","Glucose [Moles/volume] in Cerebral spinal fluid","mmol/L","Glucose (CSF) [Moles/Vol]"
"2880-3","Protein","CSF","Qn","Protein [Mass/volume] in Cerebral spinal fluid","mg/dL","Protein (CSF) [Mass/Vol]"
"4542-7","Haptoglobin","Ser/Plas","Qn","Haptoglobin [Mass/volume] in Serum or Plasma","mg/dL","Haptoglobin [Mass/Vol]"
"43983-6","Amphetamines","Urine","Ord","Amphetamines [Presence] in Urine by Screen method >500 ng/mL","","Amphetamines Screen method >500 ng/mL Ql (U)"
"58359-1","Buprenorphine+Norbuprenorphine","Urine","Ord","Buprenorphine+Norbuprenorphine [Presence] in Urine by Screen method","","Buprenorphine+Norbuprenorphine Screen Ql (U)"
"16214-9","Lysergate diethylamide","Urine","Ord","Lysergate diethylamide [Presence] in Urine by Confirmatory method","","Lysergate diethylamide Confirm Ql (U)"
"70151-6","Opiates","Urine","Ord","Opiates [Presence] in Urine by Screen method >300 ng/mL","","Opiates Screen method >300 ng/mL Ql (U)"
"3924-8","PENTobarbital","Ser/Plas","Qn","PENTobarbital [Mass/volume] in Serum or Plasma","ug/mL","PENTobarbital [Mass/Vol]"
"39800-8","Risperidone+9-Hydroxyrisperidone","Ser/Plas","Qn","risperiDONE+9-Hydroxyrisperidone [Moles/volume] in Serum or Plasma","nmol/L","risperiDONE+9-Hydroxyrisperidone [Moles/Vol]"
"33782-4","Retinol binding protein","Urine","Qn","Retinol binding protein [Mass/volume] in Urine","mg/L","Retinol binding protein (U) [Mass/Vol]"
"43583-4","Lipoprotein (little a)","Ser/Plas","Qn","Lipoprotein a [Moles/volume] in Serum or Plasma","nmol/L","Lipoprotein a [Moles/Vol]"
"80636-4","Alpha-amanitin","Urine","Qn","Alpha-amanitin [Mass/volume] in Urine","ug/L","Alpha-amanitin (U) [Mass/Vol]"
"66129-8","Fentanyl+Norfentanyl","Urine","Ord","fentaNYL+Norfentanyl [Presence] in Urine by Confirmatory method","","fentaNYL+Norfentanyl Confirm Ql (U)"
"61058-4","Alpha-Phenyl-2-Piperidine acetate","Urine","Ord","Alpha-Phenyl-2-Piperidine acetate [Presence] in Urine","","Alpha-Phenyl-2-Piperidine acetate Ql (U)"
"34386-3","Venlafaxine","Ser/Plas","Qn","Venlafaxine [Moles/volume] in Serum or Plasma","nmol/L","Venlafaxine [Moles/Vol]"
"704-7","Basophils","Bld","Qn","Basophils [#/volume] in Blood by Automated count","10*3/uL","Basophils Auto (Bld) [#/Vol]"
"2692-2","Osmolality","Ser/Plas","Qn","Osmolality of Serum or Plasma","mosm/kg","Osmolality [Osmolality]"
"32315-4","Cortisol^baseline","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --baseline","nmol/L","Cortisol baseline [Moles/Vol]"
"45194-8","Choriogonadotropin.intact+Beta subunit","Ser/Plas","Qn","Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma","m[IU]/mL","HCG.intact+Beta subunit Qn"
"83114-9","S100 calcium binding protein B","Ser","Qn","S100 calcium binding protein B [Mass/volume] in Serum by Immunoassay","ug/L","S100 calcium binding protein B IA (S) [Mass/Vol]"
"14685-2","Cobalamins","Ser/Plas","Qn","Cobalamin (Vitamin B12) [Moles/volume] in Serum or Plasma","pmol/L","Cobalamin (Vitamin B12) [Moles/Vol]"
"32311-3","Cortisol^1H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --1 hour post XXX challenge","nmol/L","Cortisol 1 Hr post Unsp challenge [Moles/Vol]"
"39354-6","Cholinesterase^dibucaine/Cholinesterase","Ser/Plas","Qn","Cholinesterase in Serum or Plasma --dibucaine/Cholinesterase","%{inhibition};%","Cholinesterase dibucaine/Cholinesterase [Catalytic fraction]"
"40155-4","Glucose^15M post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge","mmol/L","Glucose 15 Min post Unsp challenge [Moles/Vol]"
"36921-5","Herpes simplex virus 1+2 Ab.IgG","Ser","Ord","Herpes simplex virus 1+2 IgG Ab [Presence] in Serum","","HSV 1+2 IgG Ql (S)"
"7883-2","Epstein Barr virus nuclear Ab.IgG","Ser","Ord","Epstein Barr virus nuclear IgG Ab [Presence] in Serum","","EBV nuclear IgG Ql (S)"
"8047-3","Varicella zoster virus Ab.IgG","Ser","Qn","Varicella zoster virus IgG Ab [Units/volume] in Serum","[arb'U]/mL","VZV IgG Qn (S)"
"21597-0","Varicella zoster virus Ab.IgM","Ser","Ord","Varicella zoster virus IgM Ab [Presence] in Serum","","VZV IgM Ql (S)"
"731-0","Lymphocytes","Bld","Qn","Lymphocytes [#/volume] in Blood by Automated count","10*3/uL","Lymphocytes Auto (Bld) [#/Vol]"
"33990-3","Normoblasts/100 leukocytes","Bld","Qn","Normoblasts/100 leukocytes in Blood","/100{WBCs}","Normoblasts/100 WBC (Bld)"
"770-8","Neutrophils/100 leukocytes","Bld","Qn","Neutrophils/100 leukocytes in Blood by Automated count","%","Neutrophils/100 WBC Auto (Bld)"
"24472-3","Platelet function.collagen+Adenosine diphosphate induced","Bld","Qn","Platelet function (closure time) collagen+ADP induced [Time] in Blood","s","Platelet function (closure time) collagen+ADP induced (Bld) [Time]"
"45194-8","Choriogonadotropin.intact+Beta subunit","Ser/Plas","Qn","Choriogonadotropin.intact+Beta subunit [Units/volume] in Serum or Plasma","m[IU]/mL","HCG.intact+Beta subunit Qn"
"785-6","Erythrocyte mean corpuscular hemoglobin","RBC","Qn","MCH [Entitic mass] by Automated count","pg","MCH Auto (RBC) [Entitic mass]"
"789-8","Erythrocytes","Bld","Qn","Erythrocytes [#/volume] in Blood by Automated count","10*6/uL","RBC Auto (Bld) [#/Vol]"
"777-3","Platelets","Bld","Qn","Platelets [#/volume] in Blood by Automated count","10*3/uL","Platelets Auto (Bld) [#/Vol]"
"5905-5","Monocytes/100 leukocytes","Bld","Qn","Monocytes/100 leukocytes in Blood by Automated count","%","Monocytes/100 WBC Auto (Bld)"
"706-2","Basophils/100 leukocytes","Bld","Qn","Basophils/100 leukocytes in Blood by Automated count","%","Basophils/100 WBC Auto (Bld)"
"33948-1","IgG/Creatinine","Urine","Qn","IgG/Creatinine [Mass Ratio] in Urine","mg/g{creat}","IgG/Creatinine (U) [Mass ratio]"
"46425-5","Lipemic interference index","Ser/Plas","Qn","Lipemic interference index of Serum or Plasma","[arb'U]/mL","Lipemic interference index Qn"
"83107-3","Natriuretic peptide.B prohormone N-Terminal","Ser/Plas","Qn","Natriuretic peptide.B prohormone N-Terminal [Mass/volume] in Serum or Plasma by Immunoassay","pg/mL","Natriuretic peptide.B prohormone N-Terminal IA [Mass/Vol]"
"5821-4","Leukocytes","Urine sed","Qn","Leukocytes [#/area] in Urine sediment by Microscopy high power field","/[HPF]","WBC LM.HPF (Urine sed) [#/Area]"
"53318-2","Epithelial cells.squamous","Urine","Ord","Epithelial cells.squamous [Presence] in Urine by Automated","","Epithelial cells.squamous Auto Ql (U)"
"41645-3","Calcium.ionized","BldV","Qn","Calcium.ionized [Moles/volume] in Venous blood","mmol/L","Calcium.ionized (BldV) [Moles/Vol]"
"52773-9","Clotting time.extrinsic coagulation system activated","Bld","Qn","Clotting time.extrinsic coagulation system activated of Blood by Rotational TEG","s","Clotting time.extrinsic coagulation system activated ROTEM (Bld)"
"22244-8","Cytomegalovirus Ab.IgG","Ser/Plas","Ord","Cytomegalovirus IgG Ab [Presence] in Serum or Plasma","","CMV IgG Ql"
"30325-5","Cytomegalovirus Ab.IgM","Ser/Plas","Ord","Cytomegalovirus IgM Ab [Presence] in Serum or Plasma","","CMV IgM Ql"
"2617-9","Methemoglobin/Hemoglobin.total","BldV","Qn","Methemoglobin/Hemoglobin.total in Venous blood","%","Methemoglobin (BldV) [Mass fraction]"
"30385-9","Erythrocyte distribution width","RBC","Qn","Erythrocyte distribution width [Ratio]","%","Erythrocyte distribution width (RBC) [Ratio]"
"40756-9","Amiodarone^trough","Ser/Plas","Qn","Amiodarone [Mass/volume] in Serum or Plasma --trough","ug/mL","Amiodarone trough [Mass/Vol]"
"74926-7","PHENobarbital^trough","Ser/Plas","Qn","PHENobarbital [Mass/volume] in Serum or Plasma --trough","mg/L","PHENobarbital trough [Mass/Vol]"
"40650-4","Mesothelial cells/100 leukocytes","Bld","Qn","Mesothelial cells/100 leukocytes in Blood by Manual count","%","Mesothelial cells/100 WBC Manual cnt (Bld)"
"12437-0","traMADol","Ser/Plas","Qn","traMADol [Mass/volume] in Serum or Plasma","ng/mL","traMADol [Mass/Vol]"
"3872-9","Nortriptyline","Ser/Plas","Qn","Nortriptyline [Mass/volume] in Serum or Plasma","ug/mL","Nortriptyline [Mass/Vol]"
"22312-3","Hepatitis A virus Ab","Ser","Qn","Hepatitis A virus Ab [Units/volume] in Serum","[arb'U]/mL","HAV Ab Qn (S)"
"16933-4","Hepatitis B virus core Ab","Ser","Ord","Hepatitis B virus core Ab [Presence] in Serum","","HBV core Ab Ql (S)"
"22322-2","Hepatitis B virus surface Ab","Ser","Ord","Hepatitis B virus surface Ab [Presence] in Serum","","HBV surface Ab Ql (S)"
"2069-3","Chloride","Bld","Qn","Chloride [Moles/volume] in Blood","mmol/L","Chloride (Bld) [Moles/Vol]"
"21419-7","Neutrophil cytoplasmic Ab pattern","Ser","Nom","Neutrophil cytoplasmic Ab pattern [Interpretation] in Serum by Immunofluorescence","","Neutrophil cytoplasmic Ab pattern IF (S) [Interp]"
"5048-4","Nuclear Ab","Ser","Qn","Nuclear Ab [Titer] in Serum by Immunofluorescence","{titer}","Nuclear Ab IF (S) [Titer]"
"20425-5","Cardiolipin Ab.IgM","Ser","Nom","Cardiolipin IgM Ab [Interpretation] in Serum","","Cardiolipin IgM (S) [Interp]"
"2472-9","IgM","Ser/Plas","Qn","IgM [Mass/volume] in Serum or Plasma","mg/dL","IgM [Mass/Vol]"
"2947-0","Sodium","Bld","Qn","Sodium [Moles/volume] in Blood","mmol/L","Sodium (Bld) [Moles/Vol]"
"13964-2","Methylmalonate","Ser/Plas","Qn","Methylmalonate [Moles/volume] in Serum or Plasma","nmol/L;umol/L","Methylmalonate [Moles/Vol]"
"2031-3","Carboxyhemoglobin/Hemoglobin.total","BldC","Qn","Carboxyhemoglobin/Hemoglobin.total in Capillary blood","%","Carboxyhemoglobin (BldC) [Mass fraction]"
"11557-6","Carbon dioxide","Bld","Qn","Carbon dioxide [Partial pressure] in Blood","mm[Hg]","CO2 (Bld) [Partial pressure]"
"20564-1","Oxygen saturation","Bld","Qn","Oxygen saturation in Blood","%",""
"16933-4","Hepatitis B virus core Ab","Ser","Ord","Hepatitis B virus core Ab [Presence] in Serum","","HBV core Ab Ql (S)"
"48408-9","Proteinase 3 Ab.IgG","Ser","Qn","Proteinase 3 IgG Ab [Units/volume] in Serum","[arb'U]/mL","Proteinase 3 IgG Qn (S)"
"2467-9","IgG subclass 2","Ser","Qn","IgG subclass 2 [Mass/volume] in Serum","mg/dL","IgG subclass 2 (S) [Mass/Vol]"
"43914-1","Beta 2 glycoprotein 1 Ab.IgG","Ser","Ord","Beta 2 glycoprotein 1 IgG Ab [Presence] in Serum","","Beta 2 glycoprotein 1 IgG Ql (S)"
"27816-8","von Willebrand factor Ag actual/Normal","PPP","Qn","von Willebrand factor (vWf) Ag actual/normal in Platelet poor plasma by Immunoassay","%","vWf Ag actual/normal IA (PPP) [Relative mass conc]"
"59297-2","Lacosamide","Ser/Plas","Qn","Lacosamide [Mass/volume] in Serum or Plasma","ug/mL","Lacosamide [Mass/Vol]"
"48159-8","Hepatitis C virus Ab Signal/Cutoff","Ser/Plas","Qn","Hepatitis C virus Ab Signal/Cutoff in Serum or Plasma by Immunoassay","","HCV Ab Signal/Cutoff IA [Rel units/Vol]"
"75884-7","Coagulation surface induced.lupus sensitive/Coagulation surface induced.lupus sensitive.excess phospholipid","PPP","Qn","aPTT.lupus sensitive/aPTT.lupus sensitive W excess phospholipid (screen to confirm ratio)","{Ratio}","aPTT.lupus sensitive screen to confirm Coag (PPP) [Ratio]"
"15363-5","Busulfan","Ser/Plas","Qn","Busulfan [Mass/volume] in Serum or Plasma","ng/mL","Busulfan [Mass/Vol]"
"1751-7","Albumin","Ser/Plas","Qn","Albumin [Mass/volume] in Serum or Plasma","g/dL","Albumin [Mass/Vol]"
"40274-3","Cortisol^15M post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge","nmol/L","Cortisol 15 Min post Unsp challenge [Moles/Vol]"
"32311-3","Cortisol^1H post XXX challenge","Ser/Plas","Qn","Cortisol [Moles/volume] in Serum or Plasma --1 hour post XXX challenge","nmol/L","Cortisol 1 Hr post Unsp challenge [Moles/Vol]"
"40155-4","Glucose^15M post XXX challenge","Ser/Plas","Qn","Glucose [Moles/volume] in Serum or Plasma --15 minutes post XXX challenge","mmol/L","Glucose 15 Min post Unsp challenge [Moles/Vol]"
"18337-6","Hydroxyitraconazole","Ser/Plas","Qn","Hydroxyitraconazole [Mass/volume] in Serum or Plasma","ug/mL","Hydroxyitraconazole [Mass/Vol]"
"19055-3","Carboxy tetrahydrocannabinol/Creatinine","Urine","Qn","Carboxy tetrahydrocannabinol/Creatinine [Mass Ratio] in Urine","ug/g{creat}","Carboxy tetrahydrocannabinol/Creatinine (U) [Mass ratio]"
"46426-3","Icteric interference index","Ser/Plas","Qn","Icteric interference index of Serum or Plasma","[arb'U]/mL","Icteric interference index Qn"
"67151-1","Troponin T.cardiac","Ser/Plas","Qn","Troponin T.cardiac [Mass/volume] in Serum or Plasma by High sensitivity method","ng/L","Troponin T.cardiac High sensitivity method [Mass/Vol]"
"23905-3","Mycophenolate","Ser/Plas","Qn","Mycophenolate [Mass/volume] in Serum or Plasma","ug/mL","Mycophenolate [Mass/Vol]"
"55170-5","Cytoplasmic Ab","Ser","Qn","Cytoplasmic Ab [Titer] in Serum by Immunofluorescence","{titer}","Cytoplasmic Ab IF (S) [Titer]"
"74948-1","Fluoxetine+Norfluoxetine^trough","Ser/Plas","Qn","FLUoxetine+Norfluoxetine [Mass/volume] in Serum or Plasma --trough","ug/L","FLUoxetine+Norfluoxetine trough [Mass/Vol]"
"14684-5","Creatinine","Urine","Qn","Creatinine [Moles/time] in 24 hour Urine","mmol/(24.h)","Creatinine (24H U) [Moles/Time]"
"21476-7","Potassium","Urine","Qn","Potassium [Moles/volume] in 24 hour Urine","mmol/L","Potassium (24H U) [Moles/Vol]"
"25954-9","Magnesium","Urine","Qn","Magnesium [Moles/volume] in 24 hour Urine","mmol/L","Magnesium (24H U) [Moles/Vol]"
"2956-1","Sodium","Urine","Qn","Sodium [Moles/time] in 24 hour Urine","mmol/(24.h)","Sodium (24H U) [Moles/Time]"
"2889-4","Protein","Urine","Qn","Protein [Mass/time] in 24 hour Urine","g/(24.h)","Protein (24H U) [Mass/Time]"
"35112-2","Floxacillin","Ser/Plas","Qn","Floxacillin [Mass/volume] in Serum or Plasma","mg/L","Floxacillin [Mass/Vol]"
"55429-5","Short blood count panel","Bld","Qn","Short blood count panel - Blood","","Short blood count panel (Bld)"
"718-7","Hemoglobin","Bld","Qn","Hemoglobin [Mass/volume] in Blood","g/dL","Hemoglobin (Bld) [Mass/Vol]"
"30385-9","Erythrocyte distribution width","RBC","Qn","Erythrocyte distribution width [Ratio]","%","Erythrocyte distribution width (RBC) [Ratio]"
"32623-1","Platelet mean volume","Bld","Qn","Platelet mean volume [Entitic volume] in Blood by Automated count","fL","Platelet mean volume Auto (Bld) [Entitic vol]"
"17849-1","Reticulocytes/100 erythrocytes","Bld","Qn","Reticulocytes/100 erythrocytes in Blood by Automated count","%","Reticulocytes/100 RBC Auto (Bld)"
"34419-2","Reticulocytes.mature/Reticulocytes.total","Bld","Qn","Reticulocytes.mature/Reticulocytes.total in Blood","%","Reticulocytes.mature/Total reticulocytes (Bld)"
"33516-6","Reticulocytes.immature/Reticulocytes.total","Bld","Qn","Immature reticulocytes/Reticulocytes.total in Blood","%","Immature reticulocytes/Total reticulocytes (Bld)"
"770-8","Neutrophils/100 leukocytes","Bld","Qn","Neutrophils/100 leukocytes in Blood by Automated count","%","Neutrophils/100 WBC Auto (Bld)"
"731-0","Lymphocytes","Bld","Qn","Lymphocytes [#/volume] in Blood by Automated count","10*3/uL","Lymphocytes Auto (Bld) [#/Vol]"
"706-2","Basophils/100 leukocytes","Bld","Qn","Basophils/100 leukocytes in Blood by Automated count","%","Basophils/100 WBC Auto (Bld)"
"17789-9","Large unstained cells","Bld","Qn","Large unstained cells [#/volume] in Blood by Automated count","10*3/uL","Large unstained cells Auto (Bld) [#/Vol]"
"777-3","Platelets","Bld","Qn","Platelets [#/volume] in Blood by Automated count","10*3/uL","Platelets Auto (Bld) [#/Vol]"
"26508-2","Neutrophils.band form/100 leukocytes","Bld","Qn","Band form neutrophils/100 leukocytes in Blood","%","Band form neutrophils/100 WBC (Bld)"
"736-9","Lymphocytes/100 leukocytes","Bld","Qn","Lymphocytes/100 leukocytes in Blood by Automated count","%","Lymphocytes/100 WBC Auto (Bld)"
"16369-1","Amphetamines","Urine","Ord","Amphetamines [Presence] in Urine by Confirmatory method","","Amphetamines Confirm Ql (U)"
"16208-1","Buprenorphine","Urine","Ord","Buprenorphine [Presence] in Urine by Confirmatory method","","Buprenorphine Confirm Ql (U)"
"16199-2","Methadone","Urine","Ord","Methadone [Presence] in Urine by Confirmatory method","","Methadone Confirm Ql (U)"
"18390-5","Opiates","Urine","Ord","Opiates [Presence] in Urine by Confirmatory method","","Opiates Confirm Ql (U)"
"20421-4","Barbiturates","Ser/Plas","Ord","Barbiturates [Presence] in Serum or Plasma by Screen method","","Barbiturates Screen Ql"
"3391-0","Benzoylecgonine","Ser/Plas","Ord","Benzoylecgonine [Presence] in Serum or Plasma","","Benzoylecgonine Ql"
"80148-0","Tricyclic antidepressants","Ser/Plas","Ord","Tricyclic antidepressants [Presence] in Serum or Plasma by Screen method","","Tricyclic antidepressants Screen Ql"
"8171-1","Cannabinoids","Ser/Plas","Ord","Cannabinoids [Presence] in Serum or Plasma by Confirmatory method","","Cannabinoids Confirm Ql"
"45022-1","Methadone+Metabolite","Ser/Plas","Ord","Methadone+Metabolite [Presence] in Serum or Plasma by Confirmatory method","","Methadone+Metabolite Confirm Ql"
"34578-5","Barbiturates","Meconium","Ord","Barbiturates [Presence] in Meconium by Screen method","","Barbiturates Screen Ql (Mec)"
"8189-3","Benzoylecgonine","Meconium","Ord","Benzoylecgonine [Presence] in Meconium by Screen method","","Benzoylecgonine Screen Ql (Mec)"
"14683-7","Creatinine","Urine","Qn","Creatinine [Moles/volume] in Urine","mmol/L","Creatinine (U) [Moles/Vol]"
